"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"978",77534,2426,1203,1223,298,1868,"32555","141900","83867","4.0",2333,47,15
"979",77535,32904,15450,17454,1889,25397,"20992","100900","54873","12.5",26862,3131,307
"980",77536,32392,16324,16068,4458,22075,"33529","147000","82420","10.2",29083,574,566
"981",77538,906,460,446,90,667,"30285","103200","62188","16.8",763,100,0
"982",77539,42607,21609,20998,6917,30716,"30591","152400","71216","14.2",33009,4920,1685
"983",77541,18525,9576,8949,1066,8830,"22556","88800","48390","20.3",14772,1861,95
"984",77545,25036,11629,13407,4615,16681,"22479","152400","70326","9.4",3991,14672,469
"985",77546,52261,25539,26722,17130,43505,"44508","220000","98621","5.1",42784,2711,4414
"986",77547,10077,5260,4817,389,1392,"14935","67400","41037","27.9",7925,617,0
"987",77550,22070,11113,10957,5008,16307,"25136","135700","35305","31.0",14435,5833,876
"988",77551,21203,10685,10518,3988,13732,"27674","159200","47727","17.1",15506,4191,461
"989",77554,8249,4240,4009,2657,7009,"46421","277400","66833","6.9",7446,267,267
"990",77562,10665,5266,5399,766,6718,"26589","106600","62077","13.6",9694,526,32
"991",77563,10067,4903,5164,1226,7216,"29545","128800","55652","21.1",7683,1986,32
"992",77564,1986,943,1043,162,1793,"27935","98100","59531","2.7",1979,7,0
"993",77565,7233,3778,3455,2299,6409,"47042","234000","68062","3.5",6489,277,188
"994",77566,29441,14433,15008,6915,21248,"39247","159300","78276","8.4",24593,1395,833
"995",77568,15640,7922,7718,1508,11222,"23162","96400","44381","17.1",9263,5428,366
"996",77571,37374,18609,18765,5101,25248,"31684","133600","75232","9.7",30848,1803,434
"997",77573,85108,41447,43661,26163,68928,"41592","224500","103922","6.9",69226,5948,4491
"998",77575,17005,8926,8079,1397,14185,"26796","104000","55156","13.4",13003,2782,65
"999",77577,1566,829,737,188,1119,"31343","134400","70815","14.6",1473,16,6
"1000",77578,18636,9423,9213,5860,14568,"37045","220400","99082","4.4",12215,3527,1935
"1001",77580,534,202,332,115,534,"32927","317300","-","0.0",528,0,0
"1002",77581,47625,22516,25109,12074,34607,"36394","199200","89931","6.1",37433,3678,3049
"1003",77583,35308,20108,15200,4412,20359,"18620","161500","67241","14.5",21556,8212,1566
"1004",77584,87121,42480,44641,32065,70160,"43226","223900","106162","5.3",46865,20392,14895
"1005",77585,880,296,584,44,880,"13486","24000","40508","14.8",880,0,0
"1006",77586,22182,10831,11351,7356,18661,"48308","212500","90612","7.4",19906,911,519
"1007",77587,16901,8902,7999,742,1725,"15765","85200","44371","24.9",12097,203,170
"1008",77590,31084,14881,16203,2327,19662,"22779","98400","41697","24.7",23418,5228,116
"1009",77591,14073,6624,7449,1777,11863,"26635","119300","43487","16.4",6124,6654,146
"1010",77598,24689,12486,12203,5053,16518,"27235","138600","52167","14.2",16676,4194,1872
"1011",77611,8325,4241,4084,965,8154,"29859","142500","69897","8.5",7905,69,40
"1012",77612,9134,4567,4567,576,8870,"21609","99600","49479","8.4",8720,212,0
"1013",77613,1048,538,510,90,974,"33152","112800","53875","4.7",819,216,0
"1014",77614,516,246,270,0,516,"21103","61800","-","9.5",516,0,0
"1015",77615,1049,614,435,19,1045,"24577","80400","59474","1.2",963,0,17
"1016",77616,535,295,240,53,526,"31688","81100","39574","13.1",517,0,0
"1017",77619,15775,7910,7865,1674,11666,"26149","104900","52992","12.7",14244,733,350
"1018",77622,1464,747,717,175,1293,"28924","121200","83875","13.8",1464,0,0
"1019",77623,515,251,264,74,497,"26275","79400","49868","15.4",515,0,0
"1020",77624,630,372,258,73,572,"33438","108500","64158","10.8",610,20,0
"1021",77625,9691,5069,4622,891,9060,"34005","84600","60098","9.7",8711,771,54
"1022",77627,21198,10587,10611,3840,17969,"36934","133100","66493","6.9",19623,445,598
"1023",77629,634,317,317,100,416,"25662","98000","49079","4.3",575,59,0
"1024",77630,28740,14422,14318,3304,25861,"28019","98900","47638","16.5",21741,5916,242
"1025",77632,23475,11491,11984,3046,22661,"29725","119300","61387","14.0",21251,907,589
"1026",77640,15964,7617,8347,1666,13954,"19440","63900","33114","28.3",4979,10034,450
"1027",77642,38845,18840,20005,2488,23569,"17846","64000","32266","31.9",22170,11497,3131
"1028",77650,1611,713,898,375,1253,"27198","196000","46250","15.6",1611,0,0
"1029",77651,12840,6373,6467,2309,11210,"33767","155000","61976","10.9",11266,327,602
"1030",77655,346,181,165,19,318,"44865","94300","50000","11.2",334,11,0
"1031",77656,16362,7779,8583,1390,15323,"25157","91100","46689","18.4",13667,2203,148
"1032",77657,21427,10607,10820,3020,20418,"30801","153300","65956","8.5",21093,48,18
"1033",77659,4722,2248,2474,982,4473,"41921","150500","66667","5.9",4212,171,44
"1034",77660,1182,635,547,64,1182,"24927","63700","63750","4.0",1170,0,0
"1035",77661,852,407,445,27,806,"19787","86300","-","5.4",672,180,0
"1036",77662,26394,12945,13449,2105,24217,"24951","90600","47781","14.4",25703,45,106
"1037",77663,1283,720,563,105,1283,"21614","161200","59702","29.5",1283,0,0
"1038",77664,2229,1039,1190,169,2061,"32989","85600","68977","10.9",1904,157,0
"1039",77665,6252,3040,3212,684,5412,"25597","118900","45718","14.0",5511,292,18
"1040",77701,13216,6550,6666,647,9700,"16387","56800","27309","27.7",5149,7085,322
"1041",77702,3091,1500,1591,515,2313,"25684","85400","44940","17.9",1721,1167,51
"1042",77703,14288,6793,7495,608,11575,"16251","62200","29007","32.4",3690,10008,18
"1043",77705,40819,25630,15189,3112,33695,"16477","77500","38356","25.0",20207,17517,902
